publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,command_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
1500000000,1510000000,58.35719999999992,-2.220000000000084,27.220000000000084,39.41507500000008,97.75,25.0,1.5,58.37932499999992,-2.2050000000000836,27.205000000000084,1.5
1510000000,1520000000,58.33492499999992,-2.2350000000000847,27.235000000000085,39.687500000000085,98.0,25.0,1.5,58.35719999999992,-2.220000000000084,27.220000000000084,1.5
1520000000,1530000000,58.312499999999915,-2.2500000000000853,27.250000000000085,39.96007500000009,98.25,25.0,1.5,58.33492499999992,-2.2350000000000847,27.235000000000085,1.5
1530000000,1540000000,58.28992499999991,-2.265000000000086,27.265000000000086,40.23280000000009,98.5,25.0,1.5,58.312499999999915,-2.2500000000000853,27.250000000000085,1.5
1540000000,1550000000,58.26719999999991,-2.2800000000000864,27.280000000000086,40.505675000000096,98.75,25.0,1.5,58.28992499999991,-2.265000000000086,27.265000000000086,1.5
1550000000,1560000000,58.244324999999904,-2.295000000000087,27.295000000000087,40.7787000000001,99.0,25.0,1.5,58.26719999999991,-2.2800000000000864,27.280000000000086,1.5
1560000000,1570000000,58.2212999999999,-2.3100000000000875,27.310000000000088,41.0518750000001,99.25,25.0,1.5,58.244324999999904,-2.295000000000087,27.295000000000087,1.5
1570000000,1580000000,58.1981249999999,-2.325000000000088,27.325000000000088,41.3252000000001,99.5,25.0,1.5,58.2212999999999,-2.3100000000000875,27.310000000000088,1.5
1580000000,1590000000,58.1747999999999,-2.3400000000000887,27.34000000000009,41.59867500000011,99.75,25.0,1.4837187499998121,58.1981249999999,-2.325000000000088,27.325000000000088,1.5
1590000000,1600000000,58.15132499999989,-2.3550000000000892,27.35500000000009,41.87229918593761,100.0,25.0,1.4496799999998107,58.1747999999999,-2.3400000000000887,27.34000000000009,1.4837187499998121
1600000000,1610000000,58.12770081406239,-2.3698371875000888,27.36983718750009,42.14607004181261,100.25,25.0,1.4155887499998085,58.15132499999989,-2.3550000000000892,27.35500000000009,1.4496799999998107
1610000000,1620000000,58.10392995818739,-2.3843339875000886,27.38433398750009,42.41998416112511,100.5,25.0,1.3817261364841835,58.12770081406239,-2.3698371875000888,27.36983718750009,1.4155887499998085
1620000000,1630000000,58.08001583887489,-2.398489875000088,27.398489875000088,42.69403814618193,100.75,25.0,1.3483993569279336,58.10392995818739,-2.3843339875000886,27.38433398750009,1.3817261364841835
1630000000,1640000000,58.05596185381807,-2.41230713636493,27.41230713636493,42.96822863751343,101.0,25.0,1.3156105092310595,58.08001583887489,-2.398489875000088,27.398489875000088,1.3483993569279336
1640000000,1650000000,58.03177136248657,-2.425791129934211,27.42579112993421,43.24255232933823,101.25,25.0,1.2833568386068195,58.05596185381807,-2.41230713636493,27.41230713636493,1.3156105092310595
1650000000,1660000000,58.00744767066177,-2.4389472350265216,27.43894723502652,43.51700596953042,101.5,25.0,1.2516302777337862,58.03177136248657,-2.425791129934211,27.42579112993421,1.2833568386068195
1660000000,1670000000,57.98299403046958,-2.451780803412589,27.45178080341259,43.79158635907844,101.75,25.0,1.2204227043108684,58.00744767066177,-2.4389472350265216,27.43894723502652,1.2516302777337862
1670000000,1680000000,57.95841364092156,-2.464297106189928,27.464297106189928,44.066290351275555,102.0,25.0,1.1897260247776358,57.98299403046958,-2.451780803412589,27.45178080341259,1.2204227043108684
1680000000,1690000000,57.933709648724445,-2.4765013332330383,27.47650133323304,44.34111485090912,102.25,25.0,1.1595322661449212,57.95841364092156,-2.464297106189928,27.464297106189928,1.1897260247776358
1690000000,1700000000,57.90888514909088,-2.488398593480813,27.488398593480813,44.616056813457234,102.5,25.0,1.1298335772265653,57.933709648724445,-2.4765013332330383,27.47650133323304,1.1595322661449212
1700000000,1710000000,57.883943186542766,-2.4999939161422624,27.499993916142262,44.89111324429752,102.75,25.0,1.100622228427404,57.90888514909088,-2.488398593480813,27.488398593480813,1.1298335772265653
1710000000,1720000000,57.85888675570248,-2.5112922519145293,27.51129225191453,45.166281197928086,103.0,25.0,1.0718906099445649,57.883943186542766,-2.4999939161422624,27.499993916142262,1.100622228427404
1720000000,1730000000,57.833718802071914,-2.522298474198802,27.522298474198802,45.44155777720057,103.25,25.0,1.0436312299433035,57.85888675570248,-2.5112922519145293,27.51129225191453,1.0718906099445649
1730000000,1740000000,57.80844222279943,-2.533017380298247,27.533017380298247,45.71694013256506,103.5,25.0,1.0158367127322365,57.833718802071914,-2.522298474198802,27.522298474198802,1.0436312299433035
1740000000,1750000000,57.78305986743494,-2.54345369259768,27.54345369259768,45.99242546132667,103.75,25.0,0.9884997969653235,57.80844222279943,-2.533017380298247,27.533017380298247,1.0158367127322365
1750000000,1760000000,57.75757453867333,-2.553612059725001,27.553612059725,46.26801100691377,104.0,25.0,0.9616133338712318,57.78305986743494,-2.54345369259768,27.54345369259768,0.9884997969653235
1760000000,1770000000,57.73198899308623,-2.5634970576946543,27.563497057694654,46.543694058157406,104.25,25.0,0.9351702855100381,57.75757453867333,-2.553612059725001,27.553612059725,0.9616133338712318
1770000000,1780000000,57.706305941842594,-2.573113191033368,27.573113191033368,46.81947194858201,104.5,25.0,0.9091637230569036,57.73198899308623,-2.5634970576946543,27.563497057694654,0.9351702855100381
1780000000,1790000000,57.68052805141799,-2.582464893888467,27.582464893888467,47.09534205570705,104.75,25.0,0.8835868251123484,57.706305941842594,-2.573113191033368,27.573113191033368,0.9091637230569036
1790000000,1800000000,57.65465794429295,-2.5915565311190356,27.591556531119036,47.3713018003595,105.0,25.0,0.8584328760386901,57.68052805141799,-2.582464893888467,27.582464893888467,0.8835868251123484
1800000000,1810000000,57.6286981996405,-2.6003923993701576,27.600392399370158,47.647348645997,105.25,25.0,0.8336952643221966,57.65465794429295,-2.5915565311190356,27.591556531119036,0.8584328760386901
1810000000,1820000000,57.602651354003,-2.6089767281305463,27.608976728130546,47.92348009804152,105.5,25.0,0.8093674809606526,57.6286981996405,-2.6003923993701576,27.600392399370158,0.8336952643221966
1820000000,1830000000,57.57651990195848,-2.617313680773769,27.61731368077377,48.1996937032233,105.75,25.0,0.7854431178758574,57.602651354003,-2.6089767281305463,27.608976728130546,0.8093674809606526
1830000000,1840000000,57.5503062967767,-2.625407355583377,27.625407355583377,48.47598704893503,106.0,25.0,0.7619158663507162,57.57651990195848,-2.617313680773769,27.61731368077377,0.7854431178758574
1840000000,1850000000,57.52401295106497,-2.6332617867621373,27.633261786762137,48.75235776259597,106.25,25.0,0.7387795154905183,57.5503062967767,-2.625407355583377,27.625407355583377,0.7619158663507162
1850000000,1860000000,57.49764223740403,-2.640880945425643,27.640880945425643,49.028803511026,106.5,25.0,0.7160279507080509,57.52401295106497,-2.6332617867621373,27.633261786762137,0.7387795154905183
1860000000,1870000000,57.471196488974,-2.648268740580548,27.648268740580548,49.30532199982934,106.75,25.0,0.693655152232175,57.49764223740403,-2.640880945425643,27.640880945425643,0.7160279507080509
1870000000,1880000000,57.44467800017066,-2.6554290200876274,27.655429020087627,49.581910972787824,107.0,25.0,0.671655193639455,57.471196488974,-2.648268740580548,27.648268740580548,0.693655152232175
1880000000,1890000000,57.418089027212176,-2.66236557160995,27.66236557160995,49.85856821126361,107.25,25.0,0.6500222404085734,57.44467800017066,-2.6554290200876274,27.655429020087627,0.671655193639455
